,DATE,ID,STOCK,SECTOR,TYPE,SCORE,TIME,1MReturn,3MReturn,6MReturn,12MReturn
0,2004-02-11,GN63J3-R,SU,Energy Minerals,MERGED,0.95372705,10:01:54.391,0.01765860868643574,-0.08339053782393911,0.052674870983167345,0.4169966106210438
1,2004-02-18,GN63J3-R,SU,Energy Minerals,MERGED,0.95368605,10:01:55.714,0.07147462906146848,-0.07827642089233482,0.07799750542065235,0.47911911383602734
2,2004-02-25,GN63J3-R,SU,Energy Minerals,MERGED,0.94050237,10:01:56.304,0.03861981934299481,-0.0444696580123445,0.08918534486069672,0.5728974028378139
3,2004-03-03,GN63J3-R,SU,Energy Minerals,MERGED,0.94338991,10:01:57.217,-0.014189879104721451,-0.10785441512824702,0.08526119098186571,0.4784499060611011
4,2004-03-10,GN63J3-R,SU,Energy Minerals,MERGED,0.94292064,10:01:58.759,0.002599290690845347,-0.09385247799248939,0.06281400861211138,0.43356207308028794
5,2004-03-17,GN63J3-R,SU,Energy Minerals,MERGED,0.93588689,10:01:59.595,-0.03450731767442057,-0.06378784440111583,0.05587782261897051,0.4572126461664908
6,2004-03-24,GN63J3-R,SU,Energy Minerals,MERGED,0.93230919,10:02:00.090,-0.044134126386199034,0.001369385991911587,0.15084618069623726,0.46805264565043564
7,2004-03-31,GN63J3-R,SU,Energy Minerals,MERGED,,10:02:00.828,-0.12614274073814868,-0.06198409326088152,0.17496443229138026,0.48078143980484
8,2004-04-07,GN63J3-R,SU,Energy Minerals,MERGED,,10:02:01.474,-0.049505010292153886,-0.016182652201837844,0.2940773673411755,0.5357250407979147
9,2004-04-14,GN63J3-R,SU,Energy Minerals,MERGED,,10:02:02.724,-0.05447617261862908,-0.0066485933264060874,0.2620624962564227,0.4119931977572391
10,2004-04-21,GN63J3-R,SU,Energy Minerals,MERGED,,10:02:03.407,-0.06458012157639802,0.06207405738206645,0.3933075562190629,0.512390565532842
11,2004-04-28,GN63J3-R,SU,Energy Minerals,MERGED,,10:02:04.390,-0.022323378007897205,0.15331318733304689,0.3761789089621667,0.5184974805065234
12,2004-05-05,GN63J3-R,SU,Energy Minerals,MERGED,,10:02:05.097,-0.049945637248923036,0.1055240273097595,0.32651590619568605,0.5568622831329236
13,2004-05-12,GN63J3-R,SU,Energy Minerals,MERGED,,10:02:06.194,-0.0011328552387760806,0.13832995711478122,0.38239097363225527,0.5449196529608926
14,2004-05-19,GN63J3-R,SU,Energy Minerals,MERGED,,10:02:07.105,0.102299972747478,0.18181738834935735,0.40910525939221476,0.5685361881450726
15,2004-05-26,GN63J3-R,SU,Energy Minerals,MERGED,,10:02:08.394,0.07626356846810634,0.15586162676227416,0.5003535354352531,0.6282867873903306
16,2004-06-02,GN63J3-R,SU,Energy Minerals,MERGED,,10:02:09.322,0.06732783114598836,0.19961541063455554,0.34308832814684526,0.6723727055427773
17,2004-06-09,GN63J3-R,SU,Energy Minerals,MERGED,,10:02:10.136,0.10267131880516021,0.21673286538525513,0.3554265100804182,0.7658680971544425
18,2004-06-16,GN63J3-R,SU,Energy Minerals,MERGED,,10:02:10.680,0.017503341219758616,0.13313438901863056,0.26707132904315195,0.8203011960441317
19,2004-06-23,GN63J3-R,SU,Energy Minerals,MERGED,,10:02:11.492,0.02162415672457623,0.14435179047719446,0.3138999210818364,0.7792341779748011
20,2004-06-30,GN63J3-R,SU,Energy Minerals,MERGED,0.54975815,10:02:12.126,0.13158902256450114,0.25260608466223167,0.3853045624627881,0.8600349048324242
21,2004-07-07,GN63J3-R,SU,Energy Minerals,MERGED,0.54442286,10:02:12.879,0.09732491125392052,0.3153634363506524,0.26859079407406183,0.9735208095915939
22,2004-07-14,GN63J3-R,SU,Energy Minerals,MERGED,0.55171307,10:02:13.538,0.09296923746454208,0.2705095978900896,0.3313274503326884,-1.0
23,2004-02-11,H5490W-R,GGG,Producer Manufacturing,MERGED,0.9527531,10:01:54.391,0.004774237066455218,0.04736053091628919,0.15540228466233483,0.4413917934802869
24,2004-02-18,H5490W-R,GGG,Producer Manufacturing,MERGED,0.95326738,10:01:55.714,0.0177914409834279,0.030525424705246468,0.17403827842141048,0.4343183341815757
25,2004-02-25,H5490W-R,GGG,Producer Manufacturing,MERGED,0.95324977,10:01:56.304,0.043481376190070295,0.03768564154400124,0.15072985719266008,0.46703651269002944
26,2004-03-03,H5490W-R,GGG,Producer Manufacturing,MERGED,0.95626502,10:01:57.217,0.10982098258980688,0.05305327150431731,0.19490178077686254,0.4654363029814549
27,2004-03-10,H5490W-R,GGG,Producer Manufacturing,MERGED,0.95582609,10:01:58.759,0.12066789827856679,0.09404670312806981,0.2425830291155136,0.4916816327973394
28,2004-03-17,H5490W-R,GGG,Producer Manufacturing,MERGED,0.95494201,10:01:59.595,0.04309507842328643,0.06963570151279809,0.22243737478749814,0.4560217534177567
29,2004-03-24,H5490W-R,GGG,Producer Manufacturing,MERGED,0.95422694,10:02:00.090,0.08164590144671335,0.10849105682444876,0.24727579039739359,0.4928021766760685
30,2004-03-31,H5490W-R,GGG,Producer Manufacturing,MERGED,,10:02:00.828,-0.028138790586562542,0.07008073256197728,0.15805544975724722,0.40416580421074666
31,2004-04-07,H5490W-R,GGG,Producer Manufacturing,MERGED,,10:02:01.473,-0.05692308912959275,0.0397159622453676,0.1700042366193548,0.2962328054137976
32,2004-04-14,H5490W-R,GGG,Producer Manufacturing,MERGED,,10:02:02.723,-0.048064974220032496,0.05450978116263817,0.18161469461173763,0.28656398704878666
33,2004-04-21,H5490W-R,GGG,Producer Manufacturing,MERGED,,10:02:03.406,-0.06611531092079043,0.08112784018408284,0.18663827693778243,0.2952007231482207
34,2004-04-28,H5490W-R,GGG,Producer Manufacturing,MERGED,0.63035513,10:02:04.382,-0.03015553124612598,0.07573127223810003,0.2028202167010086,0.18891245168130916
35,2004-05-05,H5490W-R,GGG,Producer Manufacturing,MERGED,0.6333327,10:02:05.087,0.0010298687253911755,0.07402419705025978,0.23138925785743056,0.19702067121264344
36,2004-05-12,H5490W-R,GGG,Producer Manufacturing,MERGED,0.636317,10:02:06.183,0.04803547230532204,0.0987002673105905,0.33965153229565725,0.2732520420451531
37,2004-05-19,H5490W-R,GGG,Producer Manufacturing,MERGED,0.64020428,10:02:07.097,0.08198516281139767,0.11554127799702092,0.3604678290477114,0.30349043927250374
38,2004-05-26,H5490W-R,GGG,Producer Manufacturing,MERGED,0.6417466,10:02:08.387,0.08936324284718719,0.11048450137883942,0.35191065339674443,0.28164060475999037
39,2004-06-02,H5490W-R,GGG,Producer Manufacturing,MERGED,0.62158381,10:02:09.317,0.0798744137044336,0.1258680761789114,0.3226374475807175,0.23665652378298088
40,2004-06-09,H5490W-R,GGG,Producer Manufacturing,MERGED,0.63272951,10:02:10.130,0.07536116831433774,0.11938811638749014,0.26266077430768364,0.19879592976875798
41,2004-06-16,H5490W-R,GGG,Producer Manufacturing,MERGED,0.63192794,10:02:10.670,0.06082840040291872,0.16424772903187557,0.26874080272045753,0.1981321948396934
