,DATE,ID,STOCK,SECTOR,TYPE,SCORE,TIME,1MReturn,3MReturn,6MReturn,12MReturn
0,2004-02-11,GN63J3-R,SU,Energy Minerals,MERGED,0.95372705,10:01:54.391,0.0176586086864357,-0.0833905378239391,0.0526748709831673,0.4169966106210438
8875,2004-02-11,,PEAK,,,,,-0.0336562152525081,-0.209156680254166,-0.1063187051417927,-0.0125544035168666
8852,2004-02-11,,ANSS,,,,,-0.065450090670995,-0.0520681136033594,0.0973236045864728,0.672506092842124
1104,2004-02-11,MH3J5L-R,CHH,Consumer Services,MERGED,0.67917956,10:01:54.394,0.1248374729998772,0.1716757895743054,0.3322584616488906,0.5654631710000154
8829,2004-02-11,,MUR,,,,,0.0352917982478343,0.0993182616003549,0.1814749402195471,0.5471795581154416
8806,2004-02-11,,EXP,,,,,-0.0292269233154827,0.0818571304106691,0.112801460229948,0.4234802002289393
8783,2004-02-11,,NWN,,,,,0.009569581275657,-0.0918461970550205,-0.0323293778140778,0.1943274269509013
8760,2004-02-11,,MHK,,,,,-0.0125762974372035,-0.1092796631366201,-0.1183150459202908,0.1435897669979227
8737,2004-02-11,,HSY,,,,,0.0581057538761475,0.1180151143198702,0.2043236233286598,0.5622579516851169
1127,2004-02-11,FJ4YZS-R,CAA,Consumer Durables,MERGED,0.7738109,10:01:54.392,0.084216843541783,-0.0887293950724524,-0.0755540846954568,0.4568776696383796
8714,2004-02-11,,CRVL,,,,,-0.1183235180185957,-0.3611040229361481,-0.3621262555635674,-0.4832609315865275
8691,2004-02-11,,EXPD,,,,,-0.091411256821433,0.0826216377319561,0.1972501806389783,0.4035373854723209
8668,2004-02-11,,HNI,,,,,-0.0788419572014019,-0.0467755977508198,-0.0297144468921744,0.0570302405623888
8645,2004-02-11,,ETR,,,,,-0.0289321889238209,-0.1282349555622997,0.0015625465501566,0.2192629827261474
8622,2004-02-11,,EQT,,,,,-0.0370788209566433,0.0466706873134116,0.1583317847259122,0.3370890707559468
