,DATE,ID,STOCK,SECTOR,TYPE,SCORE,TIME,1MReturn,3MReturn,6MReturn,12MReturn
0,2004-02-11,GN63J3-R,SU,Energy Minerals,MERGED,0.95372705,10:01:54.391,0.0176586086864357,-0.0833905378239391,0.0526748709831673,0.4169966106210438
1,2004-02-18,GN63J3-R,SU,Energy Minerals,MERGED,0.95368605,10:01:55.714,0.0714746290614684,-0.0782764208923348,0.0779975054206523,0.4791191138360273
2,2004-02-25,GN63J3-R,SU,Energy Minerals,MERGED,0.94050237,10:01:56.304,0.0386198193429948,-0.0444696580123445,0.0891853448606967,0.5728974028378139
3,2004-03-03,GN63J3-R,SU,Energy Minerals,MERGED,0.94338991,10:01:57.217,-0.0141898791047214,-0.107854415128247,0.0852611909818657,0.4784499060611011
4,2004-03-10,GN63J3-R,SU,Energy Minerals,MERGED,0.94292064,10:01:58.759,0.0025992906908453,-0.0938524779924893,0.0628140086121113,0.4335620730802879
5,2004-03-17,GN63J3-R,SU,Energy Minerals,MERGED,0.93588689,10:01:59.595,-0.0345073176744205,-0.0637878444011158,0.0558778226189705,0.4572126461664908
6,2004-03-24,GN63J3-R,SU,Energy Minerals,MERGED,0.93230919,10:02:00.090,-0.044134126386199,0.0013693859919115,0.1508461806962372,0.4680526456504356
7,2004-03-31,GN63J3-R,SU,Energy Minerals,MERGED,0.93230919,10:02:00.828,-0.1261427407381486,-0.0619840932608815,0.1749644322913802,0.48078143980484
8,2004-06-23,GN63J3-R,SU,Energy Minerals,MERGED,0.93230919,10:02:11.492,0.0216241567245762,0.1443517904771944,0.3138999210818364,0.7792341779748011
9,2004-06-30,GN63J3-R,SU,Energy Minerals,MERGED,0.54975815,10:02:12.126,0.1315890225645011,0.2526060846622316,0.3853045624627881,0.8600349048324242
10,2004-07-07,GN63J3-R,SU,Energy Minerals,MERGED,0.54442286,10:02:12.879,0.0973249112539205,0.3153634363506524,0.2685907940740618,0.973520809591594
12,2004-03-24,,PEAK,,,0.55171307,,-0.1468701131370523,-0.1205545568147576,-0.0606706912508547,-0.1098823375054141
13,2004-03-31,T3YH93-R,PEAK,Finance,MERGED,0.64951082,10:02:00.822,-0.1554771184834573,-0.1354982505965539,-0.0490902231631857,-0.1147901843491004
14,2004-04-07,T3YH93-R,PEAK,Finance,MERGED,0.64626854,10:02:01.468,-0.1201963629868973,0.0097483038978678,0.0621067026379827,-0.0084731599468387
15,2004-04-14,T3YH93-R,PEAK,Finance,MERGED,0.52622456,10:02:02.718,-0.0472643868202658,0.0956463422914326,0.2076799193806797,0.0955412798793569
16,2004-04-21,T3YH93-R,PEAK,Finance,MERGED,0.52345995,10:02:03.401,-0.0281268596495913,0.1150140099229326,0.2360873527772717,0.1117792287025013
17,2004-04-28,T3YH93-R,PEAK,Finance,MERGED,0.52363389,10:02:04.383,0.0210949065670597,0.0546637459059754,0.2230194107783736,0.1253183527078009
18,2004-05-05,T3YH93-R,PEAK,Finance,MERGED,0.6609913,10:02:05.087,0.0144131305460399,0.0299664994495863,0.1797918840541181,0.1462942486582464
19,2004-05-12,T3YH93-R,PEAK,Finance,MERGED,0.54092075,10:02:06.185,0.059789591587279,0.1247229225855449,0.2999373486325449,0.2614417522748233
20,2004-05-19,T3YH93-R,PEAK,Finance,MERGED,0.52791562,10:02:07.098,0.1086367287741967,0.1302924086281643,0.2284580641329795,0.3028108111487236
21,2004-05-26,T3YH93-R,PEAK,Finance,MERGED,0.53972244,10:02:08.388,0.0340712417221064,0.1001963382218739,0.1826799464404325,0.1988929616964747
22,2004-06-02,T3YH93-R,PEAK,Finance,MERGED,0.54608011,10:02:09.317,0.0469597690179862,0.0869662044066266,0.1773182536108239,0.2209783290017478
23,2004-06-09,T3YH93-R,PEAK,Finance,MERGED,0.53599375,10:02:10.131,0.057854816553564,0.0994946217898993,0.2066957153434116,0.2202884702726147
24,2004-06-16,T3YH93-R,PEAK,Finance,MERGED,0.54573462,10:02:10.671,0.0796979867707683,0.1078992335445133,0.1782448019365029,0.2214904057495122
25,2004-06-23,T3YH93-R,PEAK,Finance,MERGED,0.54536127,10:02:11.487,0.015176305310054,0.0625023692704271,0.1817875761776853,0.1808772122216445
26,2004-06-30,T3YH93-R,PEAK,Finance,MERGED,0.53299722,10:02:12.127,0.0382693997778688,0.0999512464757815,0.1946362885261252,0.1993522566268351
27,2004-07-07,T3YH93-R,PEAK,Finance,MERGED,0.53676904,10:02:12.879,-0.0374018884697004,0.0518529207110317,0.0635993503324761,0.1560891824988125
29,2004-03-24,,ANSS,,,0.54678497,,0.0529100539779674,0.2433862684822338,0.2632275387239716,0.8391533874663779
30,2004-03-31,CN7T72-R,ANSS,Technology Services,MERGED,0.65104667,10:02:00.822,-0.0684449196230649,0.1826874185933175,0.2513839316011562,0.7216908726508392
31,2004-04-07,CN7T72-R,ANSS,Technology Services,MERGED,0.65172132,10:02:01.468,-0.0509027718060209,0.1313941254620226,0.3350050213773218,0.7683047832074505
32,2004-04-14,CN7T72-R,ANSS,Technology Services,MERGED,0.48322703,10:02:02.719,-0.0136157568735487,0.1497730370540226,0.3237518961671333,0.6964195420612697
33,2004-04-21,CN7T72-R,ANSS,Technology Services,MERGED,0.47949073,10:02:03.402,0.0050163222547645,0.0825182092717908,0.361926277696382,0.6533734621253748
34,2004-04-28,CN7T72-R,ANSS,Technology Services,MERGED,0.47841949,10:02:04.384,0.1235017647695522,0.0862427687982421,0.4538821699881931,0.5007815755891982
35,2004-05-05,CN7T72-R,ANSS,Technology Services,MERGED,0.48271926,10:02:05.091,0.1578947368421052,0.1981578626130756,0.6473683808979235,0.7915789955540707
36,2004-05-12,CN7T72-R,ANSS,Technology Services,MERGED,0.78092661,10:02:06.182,0.0562359433739106,0.0989753327992184,0.5756061874563863,0.6350912500222866
37,2004-05-19,CN7T72-R,ANSS,Technology Services,MERGED,0.78727691,10:02:07.095,0.1726342778368031,0.1327366405101352,0.5953965090152715,0.7616368271473771
38,2004-05-26,CN7T72-R,ANSS,Technology Services,MERGED,0.78553742,10:02:08.386,0.07258815272838,0.0422077861759507,0.4397032321155761,0.5528757129666712
39,2004-06-02,CN7T72-R,ANSS,Technology Services,MERGED,0.7844478,10:02:09.316,0.0446019417611266,0.0537511072394087,0.4958828842600639,0.5228728264427966
40,2004-06-09,CN7T72-R,ANSS,Technology Services,MERGED,0.79536968,10:02:10.130,0.0462320868608188,0.0524734291687142,0.4544614103146208,0.5709662903672541
41,2004-06-16,CN7T72-R,ANSS,Technology Services,MERGED,0.79741692,10:02:10.668,-0.0133422786864887,0.077162493035654,0.3853679685554267,0.637091410900143
42,2004-06-23,CN7T72-R,ANSS,Technology Services,MERGED,0.79239012,10:02:11.485,-0.1087048640712362,0.0084926016738341,0.3201699006283479,0.4891720098077409
43,2004-06-30,CN7T72-R,ANSS,Technology Services,MERGED,0.81238369,10:02:12.125,0.0093616729087017,0.0580850966433261,0.351063829787234,0.5165957187084441
44,2004-07-07,CN7T72-R,ANSS,Technology Services,MERGED,0.8127606,10:02:12.876,-0.0226063936593507,0.179964604140181,0.3178191598416529,0.5505319313080548
46,2004-02-11,MH3J5L-R,CHH,Consumer Services,MERGED,0.67917956,10:01:54.394,0.1248374729998772,0.1716757895743054,0.3322584616488906,0.5654631710000154
47,2004-02-18,MH3J5L-R,CHH,Consumer Services,MERGED,0.68082283,10:01:55.715,0.048118133204389,0.1149423408563359,0.2476498584686108,0.4068623164682169
48,2004-02-25,MH3J5L-R,CHH,Consumer Services,MERGED,0.68735532,10:01:56.305,0.0121725756178513,0.099909143669136,0.2142956270379749,0.3611253026312991
49,2004-03-03,MH3J5L-R,CHH,Consumer Services,MERGED,0.69712482,10:01:57.217,0.0216280441336576,0.0617360677510866,0.2085070158386561,0.3392737608622044
50,2004-03-10,MH3J5L-R,CHH,Consumer Services,MERGED,0.69658009,10:01:58.760,0.0129961098712466,0.0914398424515848,0.1995040475692093,0.3791602515928476
51,2004-03-17,MH3J5L-R,CHH,Consumer Services,MERGED,0.6770879,10:01:59.595,0.0068994370099101,0.0774118516805262,0.2241944829467554,0.4453921268008216
52,2004-03-24,MH3J5L-R,CHH,Consumer Services,MERGED,0.68167376,10:02:00.090,0.0536925721127736,0.0783367839879036,0.2708487082616049,0.4181457023043182
53,2004-03-31,MH3J5L-R,CHH,Consumer Services,MERGED,0.64306487,10:02:00.822,0.0079975049583294,0.1260835864273366,0.298028156178947,0.4075479179855561
54,2004-04-07,MH3J5L-R,CHH,Consumer Services,MERGED,0.65161341,10:02:01.468,0.0022223439047529,0.1217778132180195,0.2732837413968465,0.4137181888107213
55,2004-04-14,MH3J5L-R,CHH,Consumer Services,MERGED,0.58731219,10:02:02.718,0.0858740462124606,0.158184503308856,0.3254598420377722,0.4656125560946507
56,2004-04-21,MH3J5L-R,CHH,Consumer Services,MERGED,0.5860173,10:02:03.400,0.0546266032041196,0.1262012823784361,0.3015920034765436,0.3742824951934655
57,2004-04-28,MH3J5L-R,CHH,Consumer Services,MERGED,0.59880535,10:02:04.382,0.0543693657851455,0.1089502119548832,0.3244706237904847,0.3140320921666118
58,2004-05-05,MH3J5L-R,CHH,Consumer Services,MERGED,0.62097067,10:02:05.087,0.0475161453311159,0.1217228534169682,0.1097299463176067,0.3656873625546361
